Media Source,Campaign Name,Cost,Installs,D01 Total Revenue,D03 Total Revenue,D07 Total Revenue,D30 Total Revenue,CPI,D01 ROAS,D03 ROAS,D07 ROAS,D30 ROAS
Facebook,IMT-FB-iOS-Poll-US-AE,$173 ,4,$0 ,$0 ,$0 ,$0 ,,,,,
Facebook,IMT-FB-Android-US-AI-Video,$160 ,162,$4 ,$7 ,$8 ,$11 ,,,,,
Facebook,IMT-FB-iOS-EN-UK-ALL-AI-Video-TargetCost-1DayConvWindow,$122 ,137,$2 ,$4 ,$5 ,$8 ,,,,,
Facebook,IMT-FB-Android-DE-AI-Images,$119 ,143,$10 ,$15 ,$18 ,$26 ,,,,,
Facebook,IMT-FB-Android-EN-CA-FANRW-AI-Playable-CreativeTest-Concepts,$117 ,103,$2 ,$4 ,$8 ,$42 ,,,,,
Facebook,IMT-FB-iOS-CBOCountryTest-Single-UK,$112 ,38,$10 ,$17 ,$71 ,$86 ,,,,,
Facebook,IMT-FB-iOS-CHT-TW-FAN-AE-Playables-FANIS,$110 ,33,$3 ,$10 ,$17 ,$30 ,,,,,
Facebook,IMT-FB-iOS-CBOCountryTest-Tier-UK/DE,$100 ,29,$1 ,$7 ,$8 ,$11 ,,,,,
Facebook,IMT-FB-iOS-CBOCountryTest-Single-CA,$74 ,20,$1 ,$7 ,$12 ,$15 ,,,,,
Facebook,IMT-FB-Android-RoW2-AE-Video-Feed,$67 ,12,$1 ,$11 ,$12 ,$14 ,,,,,
Facebook,IMT-FB-iOS-CBOCountryTest-Single-AU,$44 ,19,$4 ,$12 ,$17 ,$24 ,,,,,
Facebook,IMT-FB-Android-RoW2-AE-Value-Video-FANIS,$41 ,14,$7 ,$32 ,$54 ,$57 ,,,,,
Facebook,IMT-FB-iOS-CBOCountryTest-Single-FR,$28 ,11,$7 ,$10 ,$10 ,$11 ,,,,,
Facebook,IMT-FB-Android-EN2-AE-Video-Feed,$15 ,1,$0 ,$0 ,$0 ,$4 ,,,,,
